id,donor,donor_short,canonical_key,aliases,donor_category,website,ngo_eligible,for_profit_eligible,direct_local_org_eligible,govt_or_ccm_route_required,grant_route,procurement_tender_route,loan_dev_finance_route,subrecipient_partner_possible,open_call_unsolicited,invitation_solicited,two_stage_application,online_portal_submission,active_route_status,funding_scope_geographic,lmic_africa_focus,global_multi_country_scope,priority_program_areas,infectious_diseases_fit,hiv_aids_fit,tb_fit,malaria_fit,immunization_vaccines_fit,mnch_fit,srhr_family_planning_fit,nutrition_fit,ncds_fit,hss_fit,digital_health_data_ai_fit,education_fit,economic_development_fit,climate_environment_fit,agriculture_food_security_fit,governance_equity_rights_fit,local_registration_required,local_board_required,authorized_signatory_signoff_required,govt_endorsement_letter_required,tax_exempt_status_required,sam_uei_registration_required,prior_track_record_required,partnership_mandatory,local_partner_required,prefinance_required,cost_sharing_match_required,audited_financials_required,ethics_irb_approval_required,concept_note_required,full_technical_proposal_required,detailed_budget_required,budget_narrative_required,logframe_results_framework_required,theory_of_change_required,workplan_timeline_required,mande_plan_required,cvs_key_personnel_required,org_capacity_statement_required,letters_of_support_required,partner_mou_required,registration_certificate_required,bank_details_required,due_diligence_questionnaire_required,safeguarding_policy_required,data_management_plan_required,risk_management_plan_required,sustainability_exit_plan_required,gender_inclusion_plan_required,environmental_safeguard_required,procurement_plan_required,org_chart_staffing_required,audit_report_required,references_required,award_low_usd,award_high_usd,total_annual_funding_global,funding_mechanism,verification_level,verification_caveats,evidence_summary,notes,source_urls,updated_at,hq_address,hq_country,main_phone,general_email,contact_persons,contact_emails,contact_phones,donor_linkedin_url,contact_linkedin_urls,other_profile_urls,award_size_basis,online_source_check_status,last_checked,row_type,summary_description,mission,vision,donor_values,strategy_url,total_awards,total_funding_to_date,current_awards,past_awards,projected_budget,funding_cycle,recent_activity,application_process,reporting_requirements,past_projects_json,funded_geographies,projected_budget_period,founded,parent_organization,strategic_priorities,in_scope,out_of_scope,selection_criteria,funding_programs,funding_tiers_json,eligibility_notes,application_deadlines,submission_portal_url,strategic_fit_notes,gaps_risks,recommended_approach,program_area_ratings,funders_collaborators,independent_entity_required,welcome_registration_required,hq_country_required,org_stage_required,max_annual_budget_usd,min_track_record_usd,required_partner_type,required_partner_country,max_request_pct_of_budget,min_cofinancing_secured_pct,donor_type,is_dual_role_implementer,opportunity_listing_urls
67,GE Foundation,,ge foundation,GE Foundation,International philanthropies & foundations,https://www.grantable.co/search/funders/profile/ge-foundation-us-foundation-222621967,,,Unknown,,yes,,,yes,,,,,Unknown,"[""Sub-Saharan Africa"",""LMICs"",""Africa""]",yes,,"[""Health Financing"",""MNCH""]",,,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50M–$100M annually,"[""Grants""]",medium,,"Publicly mapped priorities in uploaded donor intelligence include: Maternal, Neonatal & Child Health (MNCH). NCDs. Health systems strengthening (HSS). Limited - GE operating communities. some global health.",GE HealthCare focus on healthcare access. Past health programs in Africa. GE equipment used across Sub-Saharan Africa.,https://www.grantable.co/search/funders/profile/ge-foundation-us-foundation-222621967,2026-06-24T00:00:00+01:00,,,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Unknown,,Unknown,Unknown,[],,,,,,,,,,[],,,,,,,"{""Health Financing"":4,""MNCH"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://www.grantable.co/search/funders/profile/ge-foundation-us-foundation-222621967
100,German Federal Foreign Office (GFFO / Auswärtiges Amt),,german federal foreign office,AFF,Bilaterals / government development agencies,https://www.auswaertiges-amt.de/en,yes,yes,Yes — via competitive RFP / invited proposal,,yes,yes,,,,,,,Active,"[""Global""]",,,"[""Malaria & NTDs"",""Emergency Response"",""Food Assistance"",""Peace & Conflict"",""Pandemic Response""]",yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Grants"",""Procurement / contracts""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Publicly mapped priorities in uploaded donor intelligence include: Malaria - Prevention & Treatment and NTDs. Infectious Diseases.,C19 response mecanism funding.,https://www.auswaertiges-amt.de/en; https://www.auswaertiges-amt.de/en/aussenpolitik/themen/humanitaere-hilfe; https://www.auswaertiges-amt.de/en/aussenpolitik/themen/humanitaere-hilfe/funding-humanitarian-assistance/226902,2026-06-24T00:00:00+01:00,,Germany,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Annual,,By invitation only,Unknown,[],,,,,,,,,,[],,,,,,,"{""Malaria & NTDs"":4,""Peace & Conflict"":5,""Emergency Response"":5,""Food Assistance"":5,""Pandemic Response"":4}",,,,,,,,,,,,Multilateral / Development Bank / Global Health Partnership,no,https://www.auswaertiges-amt.de/en/aussenpolitik/themen/humanitaere-hilfe/funding-humanitarian-assistance/226902
14,German Federal Ministry for Economic Cooperation and Development,BMZ,german federal ministry for economic cooperation and development,German Federal Ministry for Economic Cooperation and Development,Bilaterals / government development agencies,https://www.bmz.de/en,yes,yes,Yes — via competitive RFP / invited proposal,,yes,yes,yes,,,,,,Active,"[""Global South"",""Africa"",""LMICs""]",,,"[""Health Financing"",""Democracy & Civic Participation"",""Climate Adaptation & Resilience"",""Basic Education""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Grants"",""Technical assistance"",""Procurement / contracts"",""Loans / concessional finance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Official website and opportunity/policy page identified; field-level eligibility remains call-specific unless captured from a binding call package.,,https://www.bmz.de/en; https://www.bmz.de/en/countries; https://www.bmz.de/en/ministry/tenders,2026-06-24T00:00:00+01:00,,Germany,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Competitive tender / RFP,Unknown,[],,,,,,,,,,[],,,,,,,"{""Basic Education"":5,""Climate Adaptation & Resilience"":5,""Democracy & Civic Participation"":5,""Health Financing"":5}",,,,,,,,,,,,Institutional Donor / Government Development Agency,no,https://www.bmz.de/en/ministry/tenders
4,GiveWell,GiveWell,givewell,GiveWell; Givewell,International philanthropies & foundations,https://www.givewell.org,yes,no,Yes — direct,,yes,,,yes,yes,yes,,,Unknown,"[""Low- and middle-income countries (LMICs)"",""Sub-Saharan Africa"",""Asia""]",,,"[""Malaria & NTDs"",""Nutrition"",""Vaccines"",""Safe Water"",""MNCH"",""Research"",""Health Financing"",""Digital Health (+AI)"",""Climate Adaptation & Resilience"",""Human Rights & Justice"",""Pandemic Response""]",yes,,,yes,,yes,,,yes,yes,yes,,,yes,,yes,,,yes,,,,yes,,,,,,,,,,,,,,yes,,yes,,,,,yes,,,,,,,,,yes,,$5.00M,$150.00M,No documented info,"[""Grants""]",high,Opportunity listing URL not verified in this pass.,"From givewell.org (How We Work, Top Charities Fund) and public profiles.","Not a conventional public RFP pipeline. review/inquiry rather than a fixed checklist. ~$300-400M/year recommended. Identifies the most cost-effective interventions. Funds mosquito net distributions (AMF), seasonal malaria chemoprevention (Malaria Consortium), and deworming. CEO the NGO (Neil Buddy Shah) = former Managing Director of GiveWell. Funding vitamin A, vaccination, water chlorination, zinc/ORS through partners. $87M in 2024 to recommended organizations. GiveWell Top Charities: AMF, Malaria Consortium, Helen Keller International, New Incentives. Rigorous cost-per-life-saved approach. Rapid response to financing crises.",https://www.givewell.org; https://www.givewell.org/how-we-work,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,"A US nonprofit charity evaluator turned major grantmaker (>$400M/yr). Finds and funds evidence-backed, highly cost-effective programmes that save or improve lives in low- and lower-middle-income countries, and publishes all its research openly. Channels funding via its Top Charities Fund and All Grants Fund.",Find and fund the giving opportunities that save or improve the most lives per dollar.,,,,,,,,,Unknown,,By invitation only,Unknown,[],,,2007,,"Evidence-backed, cost-effective global health & development — malaria (nets, seasonal chemoprevention), vitamin A supplementation, vaccination / immunisation incentives, safe water, and maternal & child health.",,,,,[],Highly selective and research-led: funds a small set of vetted Top Charities plus targeted grants that clear a strict cost-effectiveness bar. Not a broad open call.,,,,,,"{""Malaria & NTDs"":5,""Nutrition"":4,""Vaccines"":4,""Safe Water"":4,""MNCH"":4,""Research"":4,""Digital Health (+AI)"":4,""Climate Adaptation & Resilience"":4,""Human Rights & Justice"":4,""Health Financing"":4,""Pandemic Response"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,
27,Global Affairs Canada,GAC,global affairs canada,Global Affairs Canada; Government of Canada (Global Affairs Canada),Bilaterals / government development agencies,https://www.international.gc.ca/world-monde/funding-financement/open_calls-appels_ouverts.aspx?lang=eng,yes,yes,Yes — direct,yes,yes,yes,,yes,yes,,,yes,Active,"[""Global"",""Africa"",""LMICs""]",,,"[""Digital Health (+AI)"",""Research"",""Democracy & Civic Participation"",""Health Financing"",""MNCH"",""Gender Equality & GBV"",""SRH"",""Basic Education"",""Human Rights & Justice""]",,,,,,yes,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to CAD $10M+,"[""Grants"",""Procurement / contracts"",""Technical assistance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Publicly mapped priorities in uploaded donor intelligence include: Maternal and child health. Disease prevention. Health systems strengthening (HSS). Cross cutting. Yes - HSS.,"Eligible when aligned with Canada’s country strategies
Good for innovation pilots & systems approach. Eligible when aligned with Canada’s country strategies.",https://www.international.gc.ca/world-monde/funding-financement/open_calls-appels_ouverts.aspx?lang=eng; https://www.international.gc.ca/world-monde/funding-financement/index.aspx?lang=eng,2026-06-24T00:00:00+01:00,,Canada,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Research"":4,""Democracy & Civic Participation"":4,""Health Financing"":4,""MNCH"":5,""Basic Education"":5,""Gender Equality & GBV"":5,""Human Rights & Justice"":4,""SRH"":5}",,,,,,,,,,,,Institutional Donor / Government Development Agency,no,https://www.international.gc.ca/world-monde/funding-financement/open_calls-appels_ouverts.aspx?lang=eng|https://www.international.gc.ca/world-monde/funding-financement/index.aspx?lang=eng
253,Global Development Incubator,GDI,global_development_incubator,,International philanthropies & foundations,https://globaldevincubator.org,yes,,Unknown,,yes,,,yes,,,,,Unknown,"[""Low- and middle-income countries (LMICs)"",""Sub-Saharan Africa""]",,,"[""Digital Health (+AI)"",""Financial Inclusion"",""Smallholder Productivity"",""Jobs & Skills"",""Climate Adaptation & Resilience"",""Health Workforce""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Grants"",""Technical assistance"",""Co-financing""]",medium,Opportunity listing URL not verified in this pass.,From globaldevincubator.org and the Devex organisation profile.,,https://globaldevincubator.org; https://www.devex.com/organizations/global-development-incubator-gdi-56305,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,,,2026-06-24,donor_or_funder,"A Washington DC nonprofit incubator (founded 2007) that brings together ideas, leaders and capital to build and scale social-impact ventures. Runs a 12–36 month incubation (Discover → Design → Build → Exit) and has shaped 40+ ventures across health, agriculture, inclusive finance, climate, youth employment and economic inclusion in LMICs. Acts as an intermediary / venture-builder more than a pure grantmaker.","Bring together ideas, leaders and capital to build and scale the next generation of social solutions.",,,,,,,,,Unknown,,Unknown,Unknown,[],,,2007,,"Builds & scales ventures across digital health, inclusive / smallholder finance, agriculture, climate & ecosystems, youth employment, economic inclusion and MSME development.",,,,,[],Operates as an incubator / intermediary — partners with funders and entrepreneurs to build ventures; engagement is selective and relationship-driven rather than an open grant call.,,,,,,"{""Digital Health (+AI)"":4,""Financial Inclusion"":4,""Smallholder Productivity"":4,""Jobs & Skills"":4,""Climate Adaptation & Resilience"":4,""Health Workforce"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,
76,Global Financing Facility (GFF),,global financing facility,Global Financing Facility (GFF); Global Financing facility,Multilaterals & development banks,https://www.globalfinancingfacility.org,yes,,Yes — direct,yes,yes,,yes,yes,yes,,,,Active,"[""Sub-Saharan Africa"",""LMICs"",""Africa""]",yes,,"[""Digital Health (+AI)"",""Democracy & Civic Participation"",""Health Financing"",""MNCH"",""SRH"",""Nutrition"",""Human Rights & Justice""]",,,,,,yes,,,,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5.00M,$25.00M,$2.6B,"[""Grants"",""Program-related investments (equity/debt)"",""Co-financing"",""Loans / concessional finance"",""Technical assistance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Neonatal & Child Survival. Maternal, Neonatal & Child Health. Maternal, Neonatal & Child Health (MNCH). Health systems strengthening (HSS). Cross cutting. Yes - MNCH, HSS.",$1 billion committed. 36 countries including many in SSA. Catalytic financing RMNCAH-N. NGOs support Investment Cases. Direct opportunity to strengthen the NGO's positioning.,https://www.globalfinancingfacility.org/sites/gff_new/files/documents/GFF-CSO-Host-Organziation-Call-for-Proposals.pdf; https://www.globalfinancingfacility.org,2026-06-24T00:00:00+01:00,"The World Bank, 1818 H Street NW, Washington, D.C. 20433, USA",USA,+1 202 473 1000,gffsecretariat@worldbank.org,,,,https://www.linkedin.com/company/thegff,,https://www.globalfinancingfacility.org/contact-us,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Multi-year cycle,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Democracy & Civic Participation"":4,""Health Financing"":5,""MNCH"":5,""Human Rights & Justice"":4,""Nutrition"":5,""SRH"":5}",,,,,,,,,,,,Multilateral / Development Bank / Global Health Partnership,no,https://www.globalfinancingfacility.org/sites/gff_new/files/documents/GFF-CSO-Host-Organziation-Call-for-Proposals.pdf
75,Global Health EDCTP3 (Horizon Europe),Horizon Europe,global health edctp3,Global Health EDCTP3 (Horizon Europe),Multilaterals & development banks,https://www.global-health-edctp3.europa.eu,yes,,Yes — direct,,yes,,,yes,yes,,,yes,Active,"[""Sub-Saharan Africa"",""Europe""]",,,"[""Research"",""Digital Health (+AI)"",""Democracy & Civic Participation"",""Health Financing"",""MNCH"",""Tuberculosis"",""Malaria & NTDs"",""HIV/AIDS"",""Pandemic Response"",""Human Rights & Justice""]",yes,,,,,yes,,,,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€148.9M,"[""Grants""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Infectious Diseases. Maternal, Neonatal & Child Health (MNCH). Health systems strengthening (HSS). Cross cutting. Yes - Infectious Diseases, MNCH, HSS.",Typically funds consortia (academia/implementers). the NGO can engage as an implementation/research partner depending on call topic and consortium rules.,https://www.global-health-edctp3.europa.eu/index_en; https://www.global-health-edctp3.europa.eu/funding/how-apply-funding_en; https://www.global-health-edctp3.europa.eu; https://www.global-health-edctp3.europa.eu/funding_en,2026-06-24T00:00:00+01:00,,Belgium,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Annual,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""Research"":5,""Digital Health (+AI)"":4,""Democracy & Civic Participation"":4,""Health Financing"":4,""MNCH"":4,""Human Rights & Justice"":4,""HIV/AIDS"":5,""Malaria & NTDs"":5,""Pandemic Response"":5,""Tuberculosis"":5}",,,,,,,,,,,,Multilateral / Development Bank / Global Health Partnership,no,https://www.global-health-edctp3.europa.eu/funding/how-apply-funding_en|https://www.global-health-edctp3.europa.eu/funding_en|https://ec.europa.eu/info/funding-tenders/opportunities/portal/
6,Global Innovation Fund,GIF,global innovation fund,Global Innovation Fund; Global Innovation Fund (GIF),Multilaterals & development banks,https://www.globalinnovation.fund/,yes,yes,Yes — direct,,yes,,yes,yes,,,yes,yes,On hold / paused,"[""Sub-Saharan Africa"",""LMICs"",""Global""]",yes,,"[""Diagnostics"",""Digital Health (+AI)"",""Research"",""Climate Adaptation & Resilience"",""Democracy & Civic Participation"",""Health Financing"",""Malaria & NTDs"",""MSME & Entrepreneurship"",""Human Rights & Justice"",""Pandemic Response""]",yes,,,yes,,,,,,yes,yes,,,yes,,yes,,,yes,,,,yes,,,,,,,yes,yes,yes,yes,,,yes,yes,yes,yes,,,,,yes,,,yes,,,yes,,,,,$50K,$15.00M,$50K–$15M per investment; $200M initial commitment,"[""Grants"",""Program-related investments (equity/debt)"",""Loans / concessional finance""]",high,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"GIF accepts a broad range of organization types and uses staged review and extended due diligence, including organizational and ESG checks.","Requirements depend on grant, debt, or equity structure. Hybrid fund: grants, equity, debt. Focus on evidence-based, scalable innovations. Africa & Asia priority. GIF supports projects in LMICs including Africa. Innovation focus. fits digital health, diagnostics, PHC pilots. Recently partnered with PATH in 2025 to launch new $120 million health-climate impact fund. NGO priorities.",https://www.globalinnovation.fund/application-process; https://www.globalinnovation.fund/frequently-asked-questions; https://www.globalinnovation.fund; https://www.globalinnovation.fund/apply-for-funding; https://www.globalinnovation.fund/what-we-fund,2026-06-24T00:00:00+01:00,,United Kingdom,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Online portal submission,Unknown,[],,,,,,,,,,[],,,,,,,"{""Diagnostics"":4,""Digital Health (+AI)"":5,""Research"":5,""Climate Adaptation & Resilience"":5,""Democracy & Civic Participation"":4,""Health Financing"":4,""Malaria & NTDs"":4,""MSME & Entrepreneurship"":5,""Human Rights & Justice"":4,""Pandemic Response"":4}",,,,,,,,,,,,Multilateral / Development Bank / Global Health Partnership,no,https://www.globalinnovation.fund/application-process|https://www.globalinnovation.fund/apply-for-funding
79,Google Global Impact Challenge (Google.org),Google.org,google.org,Google Global Impact Challenge (Google.org); Google Global Impact Challenge,Private sector / corporate,https://google.org/,yes,,Yes — via competitive RFP / invited proposal,yes,yes,,,yes,yes,,,,Active,"[""Sub-Saharan Africa"",""LMICs"",""Global""]",yes,,"[""Digital Health (+AI)"",""Research"",""Health Financing"",""MNCH"",""Education Technology"",""Emergency Response"",""Pandemic Response""]",yes,,,,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$100M+ annually (Google.org); $25M per Challenge,"[""Grants"",""Prizes / challenges"",""In-kind / commodities""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Infectious Diseases. Maternal, Neonatal & Child Health (MNCH). Health systems strengthening (HSS). Limited - Africa challenges for Nigeria, Kenya, South Africa.",Focus on tech/AI-driven solutions. Sub-Saharan Africa not a priority country. Requires strong tech innovation component.,https://google.org; https://www.google.org/impact-report/global-programs; https://www.google.org/our-work/,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":5,""Research"":4,""Health Financing"":4,""MNCH"":4,""Education Technology"":5,""Emergency Response"":5,""Pandemic Response"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://www.google.org/our-work/
103,Government of the Netherlands,,government of the netherlands,Government of the Netherlands,Bilaterals / government development agencies,https://www.government.nl/topics/development-cooperation,yes,yes,Yes — via competitive RFP / invited proposal,,yes,yes,,,,,,yes,Active,"[""Global South"",""Africa""]",,,"[""Digital Health (+AI)"",""HIV/AIDS"",""SRH"",""Safe Water"",""Food Security & Resilience"",""Human Rights & Justice"",""Pandemic Response""]",yes,yes,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Grants"",""Procurement / contracts"",""Technical assistance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Publicly mapped priorities in uploaded donor intelligence include: Sexual and reproductive health. HIV/AIDS prevention.,,https://www.government.nl/topics/development-cooperation; https://www.government.nl/topics/grant-programmes; https://english.rvo.nl/subsidies-financing,2026-06-24T00:00:00+01:00,,Netherlands,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Online portal submission,Unknown,[],,,,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""HIV/AIDS"":4,""SRH"":5,""Food Security & Resilience"":5,""Human Rights & Justice"":5,""Pandemic Response"":4,""Safe Water"":5}",,,,,,,,,,,,Institutional Donor / Government Development Agency,no,https://www.government.nl/topics/grant-programmes|https://english.rvo.nl/subsidies-financing|https://www.government.nl/topics/development-cooperation
64,Grand Challenges Canada,,grand challenges canada,Grand Challenges Canada,International philanthropies & foundations,https://www.grandchallenges.ca,yes,,Yes — direct,,yes,,,,yes,,,yes,Active,"[""Global"",""LMICs""]",,,"[""Diagnostics"",""Digital Health (+AI)"",""Health Financing"",""MNCH"",""Mental Health"",""Research"",""SRH""]",,,,,,yes,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$50M–$80M+,"[""Grants"",""Prizes / challenges""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Maternal, Neonatal & Child Health (MNCH). NCDs. Health systems strengthening (HSS). Yes - digital health, diagnostics, delivery models.",,https://gcgh.grandchallenges.org/grant-opportunities; https://www.grandchallenges.ca/apply-for-funding/?utm; https://www.grandchallenges.ca; https://www.grandchallenges.ca/funding-opportunities/,2026-06-24T00:00:00+01:00,"MaRS Centre, West Tower, 661 University Avenue, Suite 1720, Toronto, ON M5G 1M1, Canada",Canada,,,,,,https://www.linkedin.com/company/grand-challenges-canada,,https://www.grandchallenges.ca/,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""Diagnostics"":4,""Digital Health (+AI)"":4,""Health Financing"":4,""MNCH"":5,""Research"":5,""Mental Health"":5,""SRH"":5}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://gcgh.grandchallenges.org/grant-opportunities|https://www.grandchallenges.ca/apply-for-funding/?utm|https://www.grandchallenges.ca/funding-opportunities/
98,HAPPI Consortium (BMGF-funded HPV Vaccine Acceleration Program Partners Initiative),,happi consortium,HAPPI Consortium; HAPPI; HAPPI Consortium from BMGF,International philanthropies & foundations,https://www.hli-research.org/,yes,,Yes — direct,,yes,,,,no,yes,,,Unknown,"[""Africa"",""LMICs""]",,,"[""Gender Equality & GBV"",""Peace & Conflict"",""MNCH"",""Vaccines"",""Cancer"",""Research""]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No documented info,"[""Grants"",""Technical assistance""]",medium,Not a standalone donor; should be used as a programme/funding-route intelligence row. Opportunity listing URL not verified in this pass. | Not a standalone donor; should be used as a programme/funding-route intelligence row. | Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: HPV-GNV, HPV-Conflict areas, HPV - Older girls. Yes - MNCH
Publicly mapped priorities in uploaded donor intelligence include: HPV-GNV, HPV-Conflict areas, HPV - Older girls
Publicly mapped priorities in uploaded donor intelligence include: Maternal, Neonatal & Child Health (MNCH).",,https://www.hli-research.org; https://publichealth.jhu.edu/ivac/hpv-vaccine-acceleration-program-partners-initiative-happi-consortium,2026-06-24T00:00:00+01:00,,,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,funded_programme_not_standalone_donor,,,,,,,,,,,Unknown,,By invitation only,Unknown,[],,,,,,,,,,[],,,,,,,"{""Gender Equality & GBV"":4,""Peace & Conflict"":4,""MNCH"":4,""Vaccines"":5,""Research"":5,""Cancer"":5}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,
1,Health Resources and Services Administration (HRSA),HRSA,health resources and services administration,Health Resources and Services Administration,U.S. federal agencies,https://www.hrsa.gov,yes,yes,No,,yes,,,,,,,yes,Active,"[""United States""]",,,"[""Digital Health (+AI)"",""Health Workforce"",""MNCH"",""HIV/AIDS""]",,,,,,,,,,,,,,,,,,,yes,,,yes,,,,reimbursement_only,no,,,,yes,yes,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,"[""Grants""]",high,"US federal foreign-assistance funding is affected by the 2025 foreign-aid freeze and the State Department reorganisation that absorbed USAID. Confirm the specific route is active and funded, and that foreign (non-US) entities remain eligible, before relying on this row. Verified 2026-06-06.",U.S. federal opportunity. Grants.gov eligibility and registration apply. this row should still be checked against each HRSA NOFO.,"U.S. federal grant route. specific HRSA NOFOs may narrow eligibility, but SAM/UEI and Grants.gov submission are expected.",https://www.grants.gov/learn-grants/grant-eligibility; https://www.grants.gov/; https://www.hrsa.gov; https://www.hrsa.gov/grants,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Annual,,Online portal submission,Unknown,[],,,,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Health Workforce"":5,""HIV/AIDS"":5,""MNCH"":5}",,,,,,,,,,,,U.S. Federal Grantmaker / Procurement Agency,no,https://www.grants.gov/learn-grants/grant-eligibility|https://www.grants.gov/|https://www.hrsa.gov/grants|https://www.grants.gov/search-grants
